"formatted_address","type","tot","lat","lon"
"Morton Street, New York, NY 10014, USA","route",43,40.7309367,-74.0067722
"Foley Square, New York, NY, USA","route",42,40.7143433,-74.0026137
"Ed Koch Queensboro Bridge, Ed Koch Queensboro Bridge, New York, NY 10044, USA","point_of_interest",41,40.7567316,-73.9542239
"Murray Hill, New York, NY, USA","neighborhood",41,40.7478792,-73.9756567
"Manhattan Bridge, Manhattan Bridge, New York, NY 11201, USA","point_of_interest",40,40.7074959,-73.9907742
"Eastern Parkway, Brooklyn, NY, USA","route",40,40.6691843,-73.9372946
"Bayside, Queens, NY, USA","neighborhood",40,40.7585569,-73.7654367
"World Trade Center, New York, NY, USA","neighborhood",39,40.7127780,-74.0135000
"Bethune Street, New York, NY 10014, USA","route",38,40.7369517,-74.0074722
"Abingdon Square, New York, NY 10014, USA","route",38,40.7369830,-74.0054442
"Tribeca, New York, NY, USA","neighborhood",37,40.7162692,-74.0086323
"Ozone Park, Queens, NY, USA","neighborhood",36,40.6794072,-73.8507279
"Upper Manhattan, New York, NY, USA","neighborhood",35,40.8240478,-73.9447643
"Borough Park, Brooklyn, NY, USA","neighborhood",35,40.6323009,-73.9888797
"Greenwich Street, New York, NY, USA","route",35,40.7221180,-74.0097900
"Tompkins Square Park, 500 East 9th Street, New York, NY 10009, USA","park",34,40.7263763,-73.9817771
"Howard Beach, Queens, NY, USA","neighborhood",33,40.6571222,-73.8429989
"Verrazano-Narrows Bridge, Verrazano-Narrows Bridge, Brooklyn, NY, USA","point_of_interest",32,40.6066162,-74.0446602
"Bedford-Stuyvesant, Brooklyn, NY, USA","neighborhood",31,40.6872176,-73.9417735
"Rockaway Beach, Queens, NY 11693, USA","neighborhood",30,40.5867247,-73.8114993
"Suffolk Street, New York, NY 10002, USA","route",30,40.7193056,-73.9859059
"Varick Street, New York, NY, USA","route",30,40.7237782,-74.0061322
"Horatio Street, New York, NY 10014, USA","route",29,40.7387554,-74.0064852
"Rego Park, Queens, NY, USA","neighborhood",29,40.7255722,-73.8624893
"Belt Parkway, New York, NY, USA","route",29,40.6328638,-73.8829494
"Columbus Circle, New York, NY, USA","route",29,40.7680441,-73.9823722
"Liberty Street, New York, NY, USA","route",28,40.7096803,-74.0116753
